Name,OS,Platform,IPAddress,Status,UpdateGroup,CurrentCategory,RecommendedCategory,PatchStatus,SuperOpsName,AssetId
SV-BI-APP-01,Microsoft Windows Server 2012 R2 Datacenter,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.131,ONLINE,Gruppe 1,SV_SW-Std_Update-ScanOnly,SV_SW-Std_NO-Update,Install Pending,SV-BI-APP-01,1635266155442036736
SV-BI-DB-01,Microsoft Windows Server 2012 R2 Datacenter,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.132,ONLINE,Gruppe 1,SV_SW-Std_Update-ScanOnly,SV_SW-Std_NO-Update,Install Pending,SV-BI-DB-01,5230272169006956544
SV-CEE-BI-01,Microsoft Windows Server 2012 R2 Datacenter,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.135,ONLINE,Gruppe 1,SV_SW-Std_Update-ScanOnly,SV_SW-Std_NO-Update,Install Pending,SV-CEE-BI-01,1635266204389564416
SV-EOTEC-01,Microsoft Windows Server 2016 Standard,Microsoft Windows Server 2016 Standard,10.100.15.108,ONLINE,Gruppe 1,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Manual-Update-G1,Fully Patched,sv-eotec-01,1635274626426167296
SV-OS-DC-01,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Datacenter,10.100.15.11,ONLINE,AutoInstall,SV_SW-Std_Auto-Update-1,SV_SW-Std_NO-Update,Install Pending,SV-OS-DC-01,3793236466891575296
SV-OS-DC-02,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Datacenter,10.100.15.12,ONLINE,AutoInstall,SV_SW-Std_Auto-Update-2,SV_SW-Std_NO-Update,Install Pending,SV-OS-DC-02,1516517069427871744
SV-OS-IH-01,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Standard,10.100.15.16,ONLINE,Gruppe 3,SV_SW-Std_Auto-Update-2,SV_SW-Std_Manual-Update-G3,Install Pending,SV-OS-IH-01,1635282824172363776
SV-OS-MGT-01,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Standard,10.100.15.15,ONLINE,AutoInstall,SV_SW-Std_Auto-Update-2,SV_SW-Std_Auto-Update-2,Install Pending,SV-OS-MGT-01,1291279533970051072
SV-OS-OIP-01,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Standard,10.100.15.106,ONLINE,Gruppe 2,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Manual-Update-G2,Install Pending,SV-OS-OIP-01,5037660743968047104
SV-OS-PWR-01,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Standard,10.100.15.109,ONLINE,Gruppe 1,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Manual-Update-G1,Install Pending,SV-OS-PWR-01,3751094959217057792
SV-OS-SAGE-01,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Standard,10.100.15.34,ONLINE,Gruppe 2,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Manual-Update-G2,Reboot Required,SV-OS-SAGE-01,3751120303047319552
SV-OS-SQLND-01,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Standard,10.100.15.25,ONLINE,AutoInstall,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Update-ScanOnly,Fully Patched,SV-OS-SQLND-01,5037675042849505280
SV-OS-SQLND-02,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Standard,10.100.15.22,ONLINE,AutoInstall,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Update-ScanOnly,Fully Patched,SV-OS-SQLND-02,1635303243365441536
SV-OS-TIME-01,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Standard,10.100.15.16,ONLINE,Gruppe 2,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Manual-Update-G2,Install Pending,SV-OS-TIME-01,3751094916779089920
SV-OS-WSUS-01,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2025 Standard,10.100.15.32,ONLINE,AutoInstall,,REVIEW,Install Pending,SV-OS-WSUS-01,7631324831867908096
SV-PSG-CIM-01,Windows Server 2019 Datacenter,Microsoft Windows Server 2019 Standard,10.100.101.21,ONLINE,Gruppe 4,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Manual-Update-G4,Install Pending,SV-PSG-CIM-01,1306826073592401920
SV-PSG-CIM-02,Microsoft Windows Server 2019 Standard,Microsoft Windows Server 2019 Standard,10.100.101.22,ONLINE,Gruppe 4,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Manual-Update-G4,Install Pending,SV-PSG-CIM-02,1306822750629892096
SV-PSG-DC-01,Windows Server 2019 Datacenter,Microsoft Windows Server 2019 Standard,10.100.101.11,ONLINE,Gruppe 4,SV_SW-Std_Auto-Update-1,SV_SW-Std_NO-Update,Install Pending,SV-PSG-DC-01,1951775646885867520
SV-PSG-HIST-01,Windows Server 2019 Datacenter,Microsoft Windows Server 2019 Standard,10.100.101.23,ONLINE,Gruppe 4,SV_SW-Std_Update-ScanOnly,SV_SW-Std_Manual-Update-G4,Install Pending,SV-PSG-HIST-01,1951772813461549056
