Sheet,Name,UpdateGroup,OS,IPAddress,UpdateDetails,SuperOpsName,AssetId,HostName,Platform,PlatformFamily,Status,PatchStatus,LastCommunicated,Category,Matched
INC-46316,10.100.62.210,Sonstige,,10.100.62.210,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
INC-46316,10.100.62.211,Sonstige,,10.100.62.211,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
INC-46316,10.100.62.212,Sonstige,,10.100.62.212,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
INC-46316,10.100.62.213,Sonstige,,10.100.62.213,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
INC-46316,10.100.62.214,Sonstige,,10.100.62.214,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
INC-46316,CL-DMZ-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.66.21,OS Updates + Hilfs-Applikationen,CL-DMZ-01,5037667291742158848,CL-DMZ-01,Microsoft Windows Server 2019 Standard,Server,OFFLINE,Fully Patched,2026-06-24 11:07,SV_SW-Std_Auto-Update-1,Yes
INC-46316,CL-DMZ-02,AutoInstall,Windows 10,10.100.66.22,OS Updates + Hilfs-Applikationen,CL-DMZ-02,5230301397412839424,CL-DMZ-02,Microsoft Windows 10 Pro,Standalone Workstation,OFFLINE,Fully Patched,2026-02-19 07:03,SV_SW-Std_Auto-Update-1,Yes
INC-46316,NET-FW-01,Network,FortiOS v6.4.7 build1911 (GA),10.100.15.1,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-01,Network,,10.100.15.201,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-02,Network,,10.100.15.202,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-03,Network,,10.100.15.203,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-04,Network,,10.100.15.204,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-05,Network,,10.100.15.205,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-06,Network,,10.100.15.206,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-10,Network,,10.100.15.210,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-20,Network,,10.100.15.220,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-21,Network,,10.100.15.221,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-22,Network,,10.100.15.222,Firmware Updates,,,,,,,,,,No
INC-46316,NET-SW-23,Network,,10.100.15.223,Firmware Updates,,,,,,,,,,No
