"Name","AktuelleKategorie","NeueKategorie","AssetId"
"SV-OS-CR-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Auto-Update-2","5037655650849865728"
"SV-OS-DEV-01","WS_SW-Std_Update-1","SV_SW-Std_Auto-Update-2","3378034932107231232"
"SV-OS-TIME-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Auto-Update-2","3751094916779089920"
"SV-OS-TIME-11","","SV_SW-Std_Auto-Update-2","3447796475365994496"
"SV-OS-WSUS-01","","SV_SW-Std_Auto-Update-2","7631324831867908096"
"SV-EOTEC-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-1","1635274626426167296"
"SV-OS-NL-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-1","6317909081668583424"
"SV-OS-PRT-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-1","931571484474855424"
"SV-OS-PRT-11","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-1","1053445745967390720"
"SV-OS-OIP-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-2","5037660743968047104"
"SV-OS-PWR-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-2","3751094959217057792"
"SV-OS-SAGE-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-2","3751120303047319552"
"SV-PSG-CIM-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-4","1306826073592401920"
"SV-PSG-CIM-02","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-4","1306822750629892096"
"SV-PSG-HIST-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_Manual-Update-Group-4","1951772813461549056"
"SV-BI-APP-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_NO-Update","1635266155442036736"
"SV-BI-DB-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_NO-Update","5230272169006956544"
"SV-CEE-BI-01","SV_SW-Std_Update-ScanOnly","SV_SW-Std_NO-Update","1635266204389564416"
"SV-OS-DC-01","SV_SW-Std_Auto-Update-1","SV_SW-Std_NO-Update","3793236466891575296"
"SV-OS-DC-02","SV_SW-Std_Auto-Update-2","SV_SW-Std_NO-Update","1516517069427871744"
"SV-OS-FSND-11","SV_SW-Std_Update-ScanOnly","SV_SW-Std_NO-Update","3460437488710950912"
"SV-OS-FSND-12","SV_SW-Std_Update-ScanOnly","SV_SW-Std_NO-Update","1113426693491871744"
"SV-OS-SQLND-05","","SV_SW-Std_NO-Update","3460546357399363584"
"SV-OS-SQLND-11","","SV_SW-Std_NO-Update","8454147777349611520"
"SV-OS-SQLND-12","","SV_SW-Std_NO-Update","1022381999775703040"
