"Name","OS","Kategorie","Bemerkung"
"SV-OS-APP-01","Windows Server 2019 Standard","REVIEW",""
"SV-OS-APP-02","Windows Server 2019 Standard","REVIEW",""
"SV-OS-CEE-AP-01","Windows Server 2025 Standard","REVIEW",""
"SV-OS-CEE-SM-01","Windows Server 2025 Standard","REVIEW",""
"SV-OS-QLK-GW-01","Windows Server 2025 Standard","REVIEW",""
"TEST-UPDATE-1","Windows Server 2025 Standard Evaluation","REVIEW",""
"TEST-UPDATE-2","Windows Server 2025 Standard Evaluation","REVIEW",""
"TEST-UPDATE-3","Windows Server 2025 Standard Evaluation","REVIEW",""
"SV-OS-PRB-01","Windows Server 2025 Standard","SV_SW-AV-Rly_Auto-Update-2",""
"SV-PB-PRB-11","Microsoft Windows Server 2025 Standard","SV_SW-AV-Rly_Auto-Update-2","Nicht mehr in AD gefunden"
"CL-DMZ-01","Microsoft Windows Server 2019 Standard","SV_SW-Std_Auto-Update-1","Nicht mehr in AD gefunden"
"SV-DMZ-DVL-01","Microsoft Windows Server 2019 Standard","SV_SW-Std_Auto-Update-1","Nicht mehr in AD gefunden"
"SV-DMZ-DVL-11","Microsoft Windows Server 2025 Standard","SV_SW-Std_Auto-Update-1","Nicht mehr in AD gefunden"
"SV-DMZ-LF-JP-01","Microsoft Windows Server 2025 Standard","SV_SW-Std_Auto-Update-1","Nicht mehr in AD gefunden"
"SV-OS-ADC-11","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-1",""
"SV-OS-BAK-03","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-1",""
"SV-OS-BAK-12","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-1",""
"SV-OS-CEE-TA-01","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-1",""
"SV-OS-CEE-TA-11","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-1",""
"SV-OS-JUMP-01","Microsoft Windows Server 2022 Standard","SV_SW-Std_Auto-Update-1","Nicht mehr in AD gefunden"
"SV-OS-MGT-11","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-1",""
"SV-OS-UPS-01","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-1",""
"SV-PB-DVL-11","Microsoft Windows Server 2025 Standard","SV_SW-Std_Auto-Update-1","Nicht mehr in AD gefunden"
"SV-OS-ADC-12","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-AV-01","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-2","Nicht in SuperOps onboardet"
"SV-OS-BAK-01","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-CR-01","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-DEV-01","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-IH-01","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-KMS-01","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-MGT-01","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-PRTG-01","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-TIME-01","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-TIME-11","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-WDS-11","Windows Server 2019 Standard","SV_SW-Std_Auto-Update-2",""
"SV-OS-WSUS-01","Windows Server 2025 Standard","SV_SW-Std_Auto-Update-2",""
