"Name","InAD","InSuperOps","OS","CurrentCategory","ExcelGroup","RecommendedCategory","Reason","AssetId"
"CL-DMZ-01","False","True","Microsoft Windows Server 2019 Standard","SV_SW-Std_Auto-Update-1","AutoInstall","SV_SW-Std_Auto-Update-1","Bereits aktiv in SuperOps konfiguriert - unveraendert uebernommen [NICHT (mehr) in AD gefunden]","5037667291742158848"
"SV-BI-APP-01","True","True","Windows Server 2012 R2 Datacenter","SV_SW-Std_Update-ScanOnly","Gruppe 1","SV_SW-Std_NO-Update","Windows Server 2012 R2 - absolute Regel, kein Patch","1635266155442036736"
"SV-BI-DB-01","True","True","Windows Server 2012 R2 Datacenter","SV_SW-Std_Update-ScanOnly","Gruppe 1","SV_SW-Std_NO-Update","Windows Server 2012 R2 - absolute Regel, kein Patch","5230272169006956544"
"SV-CEE-APP-01","True","False","Windows Server 2012 R2 Datacenter","","Gruppe 1","SV_SW-Std_NO-Update","Windows Server 2012 R2 - absolute Regel, kein Patch [NICHT in SuperOps onboarded]",""
"SV-CEE-BI-01","True","True","Windows Server 2012 R2 Datacenter","SV_SW-Std_Update-ScanOnly","Gruppe 1","SV_SW-Std_NO-Update","Windows Server 2012 R2 - absolute Regel, kein Patch","1635266204389564416"
"SV-CEE-DB-01","True","False","Windows Server 2012 R2 Datacenter","","Gruppe 1","SV_SW-Std_NO-Update","Windows Server 2012 R2 - absolute Regel, kein Patch [NICHT in SuperOps onboarded]",""
"SV-CEE-SOM-01","True","False","Windows Server 2012 R2 Datacenter","","Gruppe 1","SV_SW-Std_NO-Update","Windows Server 2012 R2 - absolute Regel, kein Patch [NICHT in SuperOps onboarded]",""
"SV-DMZ-DVL-01","False","True","Microsoft Windows Server 2019 Standard","SV_SW-Std_Auto-Update-1","","SV_SW-Std_Auto-Update-1","Bereits aktiv in SuperOps konfiguriert - unveraendert uebernommen [NICHT (mehr) in AD gefunden]","5230306651621654528"
"SV-DMZ-DVL-11","False","True","Microsoft Windows Server 2025 Standard","SV_SW-Std_Auto-Update-1","","SV_SW-Std_Auto-Update-1","Bereits aktiv in SuperOps konfiguriert - unveraendert uebernommen [NICHT (mehr) in AD gefunden]","8023572872427855872"
"SV-DMZ-LF-JP-01","False","True","Microsoft Windows Server 2025 Standard","SV_SW-Std_Auto-Update-1","","SV_SW-Std_Auto-Update-1","Bereits aktiv in SuperOps konfiguriert - unveraendert uebernommen [NICHT (mehr) in AD gefunden]","7966022770867331072"
