"AssetId";"Name";"HostName";"Platform";"PlatformFamily";"Status";"PatchStatus";"LastCommunicated";"Categorie_SWPatch"
"123850073147936768";"SV-OS-BAK-03";"SV-OS-BAK-03.ditzlernet.local";"Microsoft Windows Server 2019 Standard";"Server";"OFFLINE";"Install Pending";"2026-04-21 12:04";"SV_SW-Std_Auto-Update-1"
"196967090265579520";"CLT-r55fYC0Zt0z";"CLT-r55fYC0Zt0z";"Microsoft Windows 11 Business";"Standalone Workstation";"ONLINE";"Install Pending";"2026-08-06 08:16";"WS_SW-Std_Update-1"
"273947830655803392";"CLT-DC84R6WwVMX";"CLT-DC84R6WwVMX";"Microsoft Windows 11 Business";"Standalone Workstation";"OFFLINE";"Install Pending";"2026-08-03 15:59";"WS_SW-Std_Update-1"
"302722642744745984";"SV-OS-WDS-11";"SV-OS-WDS-11";"Microsoft Windows Server 2019 Standard";"Server";"OFFLINE";"Install Pending";"2026-05-18 09:58";"SV_SW-Std_Auto-Update-2"
"303637086949646336";"CLT-NhL7AU5jRVh";"CLT-NhL7AU5jRVh";"Microsoft Windows 11 Business";"Standalone Workstation";"OFFLINE";"Install Pending";"2025-10-21 16:08";"WS_SW-Std_Update-Pilot"
"340424372689625088";"SV-OS-KMS-01";"SV-OS-KMS-01";"Microsoft Windows Server 2025 Standard";"Server";"ONLINE";"Install Pending";"2026-08-06 08:16";"SV_SW-Std_Auto-Update-2"
"415346678280347648";"CLT-tE4wqbZXSK7";"CLT-tE4wqbZXSK7";"Microsoft Windows 11 Business";"Standalone Workstation";"ONLINE";"Install Pending";"2026-08-06 08:16";"WS_SW-Std_Update-2"
"415635181625241600";"CLT-B5gsF4Bi5nI";"CLT-B5gsF4Bi5nI";"Microsoft Windows 11 Business";"Standalone Workstation";"OFFLINE";"Install Pending";"2026-01-14 13:34";"WS_SW-Std_Update-1"
"511567970535747584";"CLT-ZKHcK47vJz4";"CLT-ZKHcK47vJz4";"Microsoft Windows 11 Business";"Standalone Workstation";"ONLINE";"Install Pending";"2026-08-06 08:17";"WS_SW-Std_Update-1"
"572858289406976000";"CLT-fuedzgk69Rm";"CLT-fuedzgk69Rm";"Microsoft Windows 11 Business";"Standalone Workstation";"OFFLINE";"Install Pending";"2026-07-15 17:20";"WS_SW-Std_Update-1"
"572882326766067712";"SV-PSG-DC-02";"SV-PSG-DC-02";"Microsoft Windows Server 2019 Standard";"Server (Domain Controller)";"ONLINE";"Fully Patched";"2026-08-06 08:16";"SV_SW-Std_Auto-Update-2"
"572883608847360000";"SV-PB-HV-01";"SV-PB-HV-01";"Microsoft Windows Server 2019 Standard";"Server";"OFFLINE";"Install Pending";"2026-08-04 15:33";"SV_SW-Std_Update-ScanOnly"
