"Name","Category","Platform","Status"
"CL-DMZ-01","SV_SW-Std_Auto-Update-1","Microsoft Windows Server 2019 Standard","OFFLINE"
"CL-DMZ-02","SV_SW-Std_Auto-Update-1","Microsoft Windows 10 Pro","OFFLINE"
"CLT-0UG65THOF2F","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-252OWKHUTG3","WS_SW-Mike_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-2HNYCXXVKSV","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-2Y0ZH5G87AO","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-3FIMH7ENSVV","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-3PPE21HIZOG","WS_SW-Std_Update-2","Microsoft Windows 11 Business","OFFLINE"
"CLT-41W8DKTL40N","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-4CSZJ0N58Z6","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-4OGH1NKQ1YM","WS_SW-IT_Update-Pilot","Microsoft Windows 11 Business","ONLINE"
"CLT-70BPXLZCOLK","WS_SW-Std_Update-2","Microsoft Windows 11 Business","ONLINE"
"CLT-8JFRXDZWPOL","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-A2C5MVMWWXP","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-AFJFC0ZHBHB","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-ASZRFXGNUYU","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-B5GSF4BI5NI","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-BBSLMRQSPCB","WS_SW-IT_Update-Pilot","Microsoft Windows 11 Business","OFFLINE"
"CLT-C6TNO4AGXHM","WS_SW-Std_Update-2","Microsoft Windows 11 Pro","OFFLINE"
"CLT-DC84R6WWVMX","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-DGHPURJ1XQK","WS_SW-IT_Update-Pilot","Microsoft Windows 11 Business","OFFLINE"
"CLT-EIGRHBTQQVK","WS_SW-Std_Update-2","Microsoft Windows 11 Business","ONLINE"
"CLT-F6MUZQJ2C13","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-FLO0F4V2UHK","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-FOUEFISALDQ","WS_SW-Std_Update-2","Microsoft Windows 11 Business","OFFLINE"
"CLT-FUEDZGK69RM","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-GVQ3EITXJRW","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-H5CCJDYHJDA","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-HIO4VWRHLTO","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-HUFYBPKVIFO","WS_SW-Std_Update-2","Microsoft Windows 11 Business","ONLINE"
"CLT-IXIKDSAHPWM","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-JWBM4T88NWL","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
"CLT-KDJYOKTTFG1","WS_SW-Std_Update-2","Microsoft Windows 11 Business","ONLINE"
"CLT-KF6ZU89VUFB","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-KIOSK-01","WS_SW-Kiosk_Update-1","Microsoft Windows 11 Pro","ONLINE"
"CLT-KIOSK-02","WS_SW-Kiosk_Update-1","Microsoft Windows 11 Pro","ONLINE"
"CLT-L8UBQ5AUDLE","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-LAU5URTA10H","WS_SW-Std_Update-1","Microsoft Windows 11 Pro","OFFLINE"
"CLT-LBCGQ4Y2POV","WS_SW-Std_Update-1","Microsoft Windows 11 Business","ONLINE"
"CLT-NHL7AU5JRVH","WS_SW-Std_Update-Pilot","Microsoft Windows 11 Business","OFFLINE"
"CLT-NIICMZSKWWB","WS_SW-Std_Update-1","Microsoft Windows 11 Business","OFFLINE"
